Thème,Difficulté question,Questions,A,B,C,D,Réponse
Game of Thrones,Intermédiaire,Comment s'appelle l'écuyer de Tyrion Lannister qui l'aide à la bataille de la Néra ?,Podrick Payne,Gendry,Bronn,Hot Pie,A
Game of Thrones,Intermédiaire,De qui Ramsay Bolton est-il le fils bâtard ?,Tywin Lannister,Roose Bolton,Balon Greyjoy,Walder Frey,B
Game of Thrones,Intermédiaire,Quelle est l'arme favorite d'Oberyn Martell ?,Un arc long,Une lance empoisonnée,Une épée à deux mains,Une hache à deux mains,B
Game of Thrones,Intermédiaire,Qui est l'épouse de Ramsay Bolton avant qu'il ne se marie avec Sansa dans la série ?,Roslin Frey,Walda Frey la Grosse,Lysa Arryn,Myrcella Baratheon,B
Game of Thrones,Intermédiaire,Quel est le nom du frère de Catelyn Stark capturé par les Lannister ?,Hoster Tully,Edmure Tully,Brynden Tully,Jon Arryn,B
Game of Thrones,Intermédiaire,Quel est le surnom de Brynden Tully le frère de Hoster Tully ?,La Truite Noire,Le Silure,Le Requin,Le Poisson Bleu,B
Game of Thrones,Intermédiaire,Qui est le Lord Commandant de la Garde Royale au début de la série ?,Barristan Selmy,Meryn Trant,Arthur Dayne,Jaime Lannister,A
Game of Thrones,Intermédiaire,Quelle ville d'Essos est dirigée par les Treize et abrite l'Hôtel des Nonmourants ?,Astapor,Qarth,Braavos,Volantis,B
Game of Thrones,Intermédiaire,Comment s'appelle la jeune fille noble de l'Île aux Ours qui soutient Jon Snow ?,Alys Karstark,Lyanna Mormont,Dacey Mormont,Maege Mormont,B
Game of Thrones,Intermédiaire,Qui tue Tywin Lannister avec une arbalète ?,Arya Stark,Varys,Tyrion Lannister,Jaime Lannister,C
Game of Thrones,Intermédiaire,Quel est le nom du fils de Cersei qui se suicide en sautant d'une fenêtre ?,Tommen,Myrcella,Joffrey,Robert,A
Game of Thrones,Intermédiaire,Quel est le nom du mercenaire qui devient le garde du corps de Tyrion Lannister ?,Locke,Bronn,Jorah Mormont,Daario Naharis,B
Game of Thrones,Intermédiaire,Quelle est la région d'origine de la maison Reed dont est issue Meera ?,Le Val d'Arryn,Le Conflans,Le Neck,Le Bief,C
Game of Thrones,Intermédiaire,Quel est le nom de la géante que Brienne de Torth doit affronter dans une fosse ?,Une ourse,Une louve,Une panthère,Une lionne,A
Game of Thrones,Intermédiaire,Quel est le nom du château ancestral de la maison Martell à Dorne ?,Hautjardin,Lancehélice,Accalmie,Les Jardins d'Eau,B
Game of Thrones,Intermédiaire,Quel est le nom de l'épée en acier valyrien portée par Arthur Dayne ?,Féale,Crépuscule,Glace,Aube,D
Game of Thrones,Intermédiaire,Comment s'appelle le chef des mercenaires des Seconds Fils qui séduit Daenerys ?,Ben Plumm,Jorah Mormont,Daario Naharis,Barristan Selmy,C
Game of Thrones,Intermédiaire,Qui a mené la rébellion des Fer-nés quelques années après l'accession de Robert ?,Victarion Greyjoy,Balon Greyjoy,Euron Greyjoy,Theon Greyjoy,B
Game of Thrones,Intermédiaire,Quel est le nom du Maestre de la Garde de Nuit à Châteaunoir qui est aussi un Targaryen ?,Aemon,Cressen,Pycelle,Luwin,A
Game of Thrones,Intermédiaire,Quel groupe de mercenaires basé à Essos est engagé par Cersei dans la saison 8 ?,Les Braves Compaings,Les Puînés,Les Seconds Fils,La Compagnie Dorée,D
Game of Thrones,Intermédiaire,Comment s'appelle le commandant des Manteaux d'Or qui trahit Ned Stark ?,Janos Slynt,Meryn Trant,Ilyn Payne,Bronn,A
Game of Thrones,Intermédiaire,Quelle maison est bannie de ses terres par Robb Stark après avoir tué deux prisonniers ?,La maison Bolton,La maison Umber,La maison Glover,La maison Karstark,D
Game of Thrones,Intermédiaire,Quelle est la ville natale de Melisandre d'Asshai ?,Pentos,Asshai-lès-l'Ombre,Braavos,Volantis,B
Game of Thrones,Intermédiaire,Qui est le premier à porter le titre de Roi du Nord depuis la Conquête d'Aegon ?,Ned Stark,Robb Stark,Jon Snow,Bran Stark,B
Game of Thrones,Intermédiaire,Qui est le dieu vénéré par Melisandre et Stannis Baratheon ?,Le Maître de la Lumière,Le Dieu Noyé,Le Dieu Multiface,Les Sept,A
Game of Thrones,Intermédiaire,Quel est le nom du loup géant de Robb Stark ?,Lady,Été,Vent Gris,Fantôme,C
Game of Thrones,Intermédiaire,Qui est le père de Lancel Lannister ?,Kevan Lannister,Gerion Lannister,Tywin Lannister,Tygett Lannister,A
Game of Thrones,Intermédiaire,Dans quelle ville d'Essos Daenerys fait-elle face aux Fils de la Harpie ?,Pentos,Meereen,Braavos,Qarth,B
Game of Thrones,Intermédiaire,Quel est le nom du fleuve qui traverse le Conflans ?,La Néra,La Verduque,La Bleufurque,La Ruffurque,D
Game of Thrones,Intermédiaire,Quel personnage est empoisonné par Littlefinger et Sansa avec L'Étrangleur ?,Robert Baratheon,Lysa Arryn,Joffrey Baratheon,Jon Arryn,C
Game of Thrones,Intermédiaire,De quelle île Davos Mervault est-il originaire dans les bas-fonds ?,De Peyredragon,De Torth,Du Cap de la Colère,De La Pissotière à Port-Réal,D
Game of Thrones,Intermédiaire,Qui remplace Barristan Selmy comme Lord Commandant de la Garde Royale sous Joffrey ?,Janos Slynt,Jaime Lannister,Meryn Trant,Gregor Clegane,B
Game of Thrones,Intermédiaire,Quel est le nom de la maladie de peau qui transforme Shireen Baratheon en pierre ?,La Grisécaille,La Fièvre de Valyria,La Peste Grise,La Lèpre de Pierre,A
Game of Thrones,Intermédiaire,Quel est le nom du château ancestral de la maison Mormont ?,Accalmie,L'Île aux Ours,Vivesaigues,Hautjardin,B
Game of Thrones,Intermédiaire,Qui est le jeune frère de Theon Greyjoy décédé avant le début de la série ?,Rodrik Greyjoy,Euron Greyjoy,Aeron Greyjoy,Maron Greyjoy,A
Game of Thrones,Intermédiaire,Quelle est la capitale historique du royaume des Rois de l'Hiver ?,Fort-Terreur,Châteaunoir,Moat Cailin,Winterfell,D
Game of Thrones,Intermédiaire,Quelle maison du Nord a pour devise 'Le Nord se souvient' ?,La maison Mormont,La maison Stark,La maison Umber,La maison Karstark,B
Game of Thrones,Intermédiaire,Comment s'appelle la bataille où Ramsay Bolton affronte Jon Snow ?,La bataille de Fort-Terreur,La bataille de la Néra,La bataille de Winterfell,La bataille des Bâtards,D
Game of Thrones,Intermédiaire,Quel est le nom de la prêtresse rouge qui aide Tyrion à Meereen ?,Ros,Shae,Melisandre,Kinvara,D
Game of Thrones,Intermédiaire,Qui est le Seigneur de Hautjardin à la fin de la série télévisée ?,Tyrion Lannister,Bronn de la Néra,Gendry Baratheon,Loras Tyrell,B
Game of Thrones,Intermédiaire,Quelle est l'arme utilisée par Joffrey pour tuer Ros ?,Une dague en acier valyrien,Une arbalète,Un arc,Une épée,B
Game of Thrones,Intermédiaire,Quelle est la maison souveraine du Val d'Arryn ?,La maison Arryn,La maison Royce,La maison Baelish,La maison Tully,A
Game of Thrones,Intermédiaire,Quel est le nom de la capitale dévastée par le Fléau de Valyria ?,Astapor,Meereen,Braavos,Valyria,D
Game of Thrones,Intermédiaire,Qui est le chef de l'armée des Immaculés nommé par Daenerys ?,Barristan Selmy,Daario Naharis,Jorah Mormont,Ver Gris,D
Game of Thrones,Intermédiaire,Quel est le nom du fils de Gilly et Craster que Samwell adopte ?,Aemon,Sam,Jon,Craster,B
Game of Thrones,Intermédiaire,Quelle est la devise de la maison Mormont ?,L'hiver vient,Nous ne semons pas,Le feu et le sang,Ici nous nous tenons,D
Game of Thrones,Intermédiaire,Quel est le nom du dieu que vénèrent les Fer-nés ?,Le Dieu Noyé,Le Maître de la Lumière,Les Sept,Le Dieu Multiface,A
Game of Thrones,Intermédiaire,Qui est le bourreau royal de Port-Réal qui décapite Ned Stark ?,Gregor Clegane,Ilyn Payne,Meryn Trant,Janos Slynt,B
Game of Thrones,Intermédiaire,Quel est le surnom de Daenerys après avoir survécu au bûcher ?,La Mère des Morts,L'Imbrûlée,L'Immaculée,La Reine de Fer,B
Game of Thrones,Intermédiaire,Quelle est l'épée en acier valyrien que Randyll Tarly refuse de donner à Sam ?,Grand-Griffe,Venin de Cœur,Glace,Aube,B
Game of Thrones,Intermédiaire,Quel est le nom de la fille de Walder Frey qui épouse Edmure Tully ?,Arya Frey,Roslin Frey,Walda la Grosse,Lame Frey,B
Game of Thrones,Intermédiaire,Quelle maison du Nord est historiquement l'ennemie jurée des Stark ?,La maison Bolton,La maison Umber,La maison Mormont,La maison Karstark,A
Game of Thrones,Intermédiaire,Comment s'appelle l'oiseau de proie de la maison Arryn ?,Un corbeau,Un aigle,Une chouette,Un faucon,D
Game of Thrones,Intermédiaire,Quel est le nom du pont géant gardé par la maison Frey ?,Le Pont de la Néra,Les Jumeaux,Les Deux Tours,Le Pont des Soupirs,B
Game of Thrones,Intermédiaire,Qui est le seigneur de la maison Umber au début de la série ?,Hodor,Smalljon Umber,Jon Umber le Lard-aux-tripes,Rickard Karstark,C
Game of Thrones,Intermédiaire,Quel est le nom du navire amiral de Stannis Baratheon ?,La Fury,L'Épée de Feu,Le Cerf d'Or,La Mer Étroite,A
Game of Thrones,Intermédiaire,Qui est le chef de la tribu des Sauvageons appelée les Thenns ?,Mance Rayder,Styr,Tormund,Ygritte,B
Game of Thrones,Intermédiaire,Quelle est l'épée en acier valyrien offerte à Joffrey par Tywin ?,Lamentation,Glace,Féale,Pleurs de Veuve,D
Game of Thrones,Intermédiaire,Qui devient la Main du Roi de Bran Stark à la fin de la série ?,Tyrion Lannister,Samwell Tarly,Bronn,Davos Mervault,A
Game of Thrones,Intermédiaire,Quel personnage de la Garde de Nuit est surnommé l'Aurochs ?,Grenn,Jon Snow,Eddison Tollett,Pyp,A
Game of Thrones,Intermédiaire,Quel est le nom de la ville marchande d'Essos où Daenerys est emprisonnée dans l'Hôtel des Nonmourants ?,Meereen,Qarth,Braavos,Pentos,B
Game of Thrones,Intermédiaire,Quel est le nom du père biologique de Gendry ?,Robert Baratheon,Stannis Baratheon,Jon Arryn,Ned Stark,A
Game of Thrones,Intermédiaire,Quel est le nom du poison utilisé pour tuer Jon Arryn ?,Les Larmes de Lys,L'Étrangleur,Le Long Adieu,Le Sang de Démon,A
Game of Thrones,Intermédiaire,Comment s'appelle l'oncle de Jon Snow qui disparaît au-delà du Mur ?,Benjen Stark,Eddard Stark,Brandon Stark,Rickard Stark,A
Game of Thrones,Intermédiaire,Qui est le souverain de la maison Tyrell au début de la série ?,Mace Tyrell,Loras Tyrell,Garlan Tyrell,Willas Tyrell,A
Game of Thrones,Intermédiaire,Quel est le nom du dieu que les habitants des Sept Couronnes vénèrent ?,Le Dieu Multiface,Le Dieu Noyé,La Foi des Sept,Le Maître de la Lumière,C
Game of Thrones,Intermédiaire,Dans quelle bataille Robb Stark capture-t-il Jaime Lannister ?,La bataille de Winterfell,La bataille de la Néra,La bataille des Bâtards,La bataille du Bois aux Murmures,D
Game of Thrones,Intermédiaire,Qui est le père de Margaery et Loras Tyrell ?,Olenna Tyrell,Willas Tyrell,Garlan Tyrell,Mace Tyrell,D
Game of Thrones,Intermédiaire,Quel est le nom du château ancestral de la maison Tarly ?,Cor de Chasse,Castral Roc,Winterfell,Hautjardin,A
Game of Thrones,Intermédiaire,Comment s'appelle le chef des mercenaires des Puînés ?,Jorah Mormont,Daario Naharis,Ben Plumm,Mero,D
Game of Thrones,Intermédiaire,Quel est le surnom de Brandon Stark l'oncle de Bran Stark ?,Le loup fougueux,Le loup silencieux,Le jeune loup,Le loup de glace,A
Game of Thrones,Intermédiaire,Comment s'appelle l'épouse de Stannis Baratheon ?,Selyse Florent,Olenna Tyrell,Catelyn Stark,Lysa Arryn,A
Game of Thrones,Intermédiaire,Quel est le nom du château ancestral de la maison Karstark ?,Karhold,Winterfell,Âtre-lès-Confins,Fort-Terreur,A
Game of Thrones,Intermédiaire,Quelle maison du Bief a pour emblème un renard entouré de fleurs ?,La maison Florent,La maison Hightower,La maison Redwyne,La maison Tyrell,A
Game of Thrones,Intermédiaire,Qui est le Seigneur de Skagos dans les mythes de Westeros ?,La maison Magnar,La maison Stark,La maison Umber,Aucun seigneur officiel,A
Game of Thrones,Intermédiaire,Quel est le nom de la ville libre située la plus au nord d'Essos ?,Volantis,Pentos,Lys,Braavos,D
Game of Thrones,Intermédiaire,Quel est le nom du fils de Cersei qui devient roi après Joffrey ?,Tommen,Bran,Robert,Rickon,A
Game of Thrones,Intermédiaire,Qui est le fondateur de la maison Seaworth ?,Robert Baratheon,Dale Mervault,Davos Mervault,Stannis Baratheon,C
Game of Thrones,Intermédiaire,Quel est le nom du loup géant d'Arya Stark qui s'enfuit ?,Broussaille,Fantôme,Nymeria,Lady,C
Game of Thrones,Intermédiaire,Dans quelle ville se trouve la Citadelle des Mestres ?,Port-Réal,Hautjardin,Villevieille,L'Eyrié,C
Game of Thrones,Intermédiaire,Qui est le chef de la Garde Royale sous Joffrey après Barristan ?,Meryn Trant,Jaime Lannister,Sandor Clegane,Gregor Clegane,B
Game of Thrones,Intermédiaire,Qui est l'épée du matin chez les Dayne ?,Edric Dayne,Ashara Dayne,Arthur Dayne,Gerold Dayne,C
Game of Thrones,Intermédiaire,De quel château Roose Bolton est-il le seigneur ?,Fort-Terreur,Winterfell,Karhold,Moat Cailin,A
Game of Thrones,Intermédiaire,Quel est le nom de la capitale des Îles de Fer ?,Vieux Wyk,Pyke,Grand Wyk,Harlaw,B
Game of Thrones,Intermédiaire,Quelle est la devise de la maison Tully ?,Le feu et le sang,L'hiver vient,Nous ne semons pas,Famille devoir honneur,D
Game of Thrones,Intermédiaire,Quelle maison contrôle le château de Moat Cailin historiquement ?,La maison Stark,La maison Umber,La maison Bolton,La maison Reed,A
Game of Thrones,Intermédiaire,Quel est le nom de la forteresse de la maison Arryn ?,L'Eyrié,Accalmie,Vivesaigues,Hautjardin,A
Game of Thrones,Expert,Quel est le nom du premier roi Targaryen à avoir conquis Westeros ?,Viserys Ier,Aerys Ier,Aegon Ier,Rhaegar Ier,C
Game of Thrones,Expert,Dans les livres quel personnage prend l'identité du Jeune Griff ?,Jon Snow,Aegon Targaryen (supposé),Quentyn Martell,Gendry,B
Game of Thrones,Expert,Quel est le nom de l'épée en acier valyrien portée par Aegon le Conquérant ?,Crépuscule,Noire-Sœur,Lamentation,Feunoyr,D
Game of Thrones,Expert,Quel est le nom du dragon de la reine Visenya Targaryen pendant la Conquête ?,Balerion,Sunfyre,Vhagar,Meraxès,C
Game of Thrones,Expert,Combien de rois Targaryen ont régné sur Westeros avant Robert ?,15,18,17,16,C
Game of Thrones,Expert,Quel est le nom de la célèbre demoiselle Dayne qui s'est jetée du haut d'une tour ?,Nymeria,Ashara Dayne,Elia Martell,Arianne Martell,B
Game of Thrones,Expert,Quel est le nom du fils de Daenerys Targaryen qui est mort-né ?,Aemon,Viserys,Aegon,Rhaego,D
Game of Thrones,Expert,Quel est le nom de l'épée de Visenya Targaryen forgée en acier valyrien ?,Feunoyr,Lamentation,Fidèle,Noire-Sœur,D
Game of Thrones,Expert,Qui est le père de Melisandre d'après certaines théories de l'auteur ?,Aemon Targaryen,Aegon IV,Brynden Rivers,Shiera Seastar,C
Game of Thrones,Expert,Comment s'appelle le fondateur légendaire de la maison Stark ?,Durran Dieux-deuil,Lann le Futé,Bran le Bâtisseur,Garth Mainverte,C
Game of Thrones,Expert,Quel roi Targaryen a fait construire le Donjon Rouge ?,Aenys Ier,Aegon le Conquérant,Maegor le Cruel,Jaehaerys Ier,C
Game of Thrones,Expert,Quel est le nom du Lord Commandant de la Garde de Nuit qui a épousé une Marcheuse Blanche ?,Le Roi d'Hiver,Brandon le Briseur,Le Lord de l'Ombre,Le Roi de la Nuit,D
Game of Thrones,Expert,Quelle est la devise de la maison Martell ?,Insoumis invaincus intacts,Imbrûlés et invaincus,Inclinés mais jamais brisés,Fiers et courageux,A
Game of Thrones,Expert,Quel est le nom du fils de Rhaegar Targaryen assassiné par La Montagne ?,Aegon,Rhaegar,Viserys,Balerion,A
Game of Thrones,Expert,Qui était le Lord de Castral Roc juste avant Tywin Lannister ?,Gerold Lannister,Tytos Lannister,Kevan Lannister,Loren Lannister,B
Game of Thrones,Expert,Dans quelle ville d'Essos se trouve la Maison du Noir et du Blanc ?,Qarth,Pentos,Braavos,Volantis,C
Game of Thrones,Expert,Quel est le nom du dragon monté par Rhaenyra Targaryen pendant la Danse des Dragons ?,Caraxès,Syrax,Meleys,Sunfyre,B
Game of Thrones,Expert,Qui est le fondateur de la maison Baratheon et frère bâtard d'Aegon le Conquérant ?,Robert Baratheon,Lyonel Baratheon,Orys Baratheon,Steffon Baratheon,C
Game of Thrones,Expert,Quel est le nom de l'épée en acier valyrien de la maison Harlaw ?,Crépuscule,Pluie,Feunoyr,Lamentation,A
Game of Thrones,Expert,Quel est le titre de l'archimestre qui écrit l'histoire de Westeros dans la série ?,Archimestre Gyldayn,Archimestre Marwyn,Archimestre Walgrave,Archimestre Ebrose,D
Game of Thrones,Expert,Quel est le nom de l'épouse de Daemon Targaryen qui meurt brûlée ?,Mysaria,Alicent Hightower,Laena Velaryon,Rhaenyra Targaryen,C
Game of Thrones,Expert,Quel membre de la maison Martell est envoyé courtiser Daenerys et meurt brûlé par un dragon ?,Oberyn Martell,Quentyn Martell,Doran Martell,Trystane Martell,B
Game of Thrones,Expert,Quel est le nom du chevalier qui a défendu Rhaegar Targaryen au Trident ?,Arthur Dayne,Jonothor Darry,Barristan Selmy,Lewyn Martell,D
Game of Thrones,Expert,Quel est le nom de l'épée en acier valyrien de la maison Corbray ?,Feunoyr,Noire-Sœur,Dame Désespoir,Lamentation,C
Game of Thrones,Expert,Qui est le roi Targaryen surnommé l'Indigne ?,Baelor Ier,Aerys II,Aegon IV,Maegor Ier,C
Game of Thrones,Expert,Quel est le nom du dragon de Daemon Targaryen surnommé le Sanguinaire ?,Meleys,Caraxès,Syrax,Vhagar,B
Game of Thrones,Expert,Quelle est la véritable identité de la Main du Roi de Jaehaerys Ier ?,Seigneur Rogar Baratheon,Grand Maestre Benifer,Septon Barth,Corlys Velaryon,C
Game of Thrones,Expert,Quel est le nom de l'immense dragon d'Aegon Ier Targaryen ?,Sunfyre,Vhagar,Meraxès,Balerion,D
Game of Thrones,Expert,Qui était le souverain du Bief avant que la maison Tyrell n'en prenne le contrôle ?,La maison Florent,La maison Redwyne,La maison Jardinier,La maison Hightower,C
Game of Thrones,Expert,Quel est le nom du château ancestral de la maison Hightower à Villevieille ?,La Grand-Tour,Le Phare,Le Donjon de l'Ancre,La Citadelle,A
Game of Thrones,Expert,Quel est le nom du fondateur légendaire de la maison Lannister ?,Durran Dieux-deuil,Lann le Futé,Garth Mainverte,Bran le Bâtisseur,B
Game of Thrones,Expert,Quel dragon a été tué par un scorpion géant à Dorne pendant la première guerre ?,Vhagar,Meraxès,Sunfyre,Balerion,B
Game of Thrones,Expert,Quel est le nom du premier homme à avoir traversé la Mer d'Été selon les mythes ?,Bryan de Villevieille,Jaenara Belaerys,Corlys Velaryon,Lomas Grandpas,B
Game of Thrones,Expert,Qui est le fils aîné de Walder Frey et l'un des organisateurs des Noces Pourpres ?,Black Walder Frey,Stevron Frey,Ryman Frey,Lothar Frey,D
Game of Thrones,Expert,Quelle est la couleur du blason de la maison Dayne ?,Un kraken d'or sur fond noir,Une truite argentée sur fond bleu,Une épée blanche et une étoile filante sur fond violet,Un soleil rouge sur fond orange,C
Game of Thrones,Expert,Quel est le nom de l'épée en acier valyrien de la maison Royce ?,Crépuscule,Dame Désespoir,Lamentation,Noire-Sœur,C
Game of Thrones,Expert,Quel est le nom du dragon de Daeron Ier Targaryen ?,Caraxès,Il n'avait pas de dragon,Sunfyre,Tessarion,B
Game of Thrones,Expert,Qui est le seigneur de la maison Umber qui meurt à la bataille des Bâtards ?,Hother Umber,Greatjon Umber,Smalljon Umber,Mors Umber,C
Game of Thrones,Expert,Quel est le nom du chef des mercenaires de la Compagnie Dorée lors de la Danse ?,Maron Volmark,Harry Strickland,Tristifer Mudd,Aegor Fleunoyr,D
Game of Thrones,Expert,Quel est le nom de la forteresse de la maison Reed dans le Neck ?,Grise-Eau,Fort-Terreur,Salvermer,Moat Cailin,A
Game of Thrones,Expert,Quel est le nom de la femme de Rhaegar Targaryen avant Lyanna Stark ?,Cersei Lannister,Ashara Dayne,Elia Martell,Lysa Arryn,C
Game of Thrones,Expert,Quel est le nom de l'épée de la maison Hightower en acier valyrien ?,Noire-Sœur,Dame Désespoir,Lamentation,Vigilance,D
Game of Thrones,Expert,Quel est le nom du dragon de la reine Helaena Targaryen ?,Syrax,Dreamfyre,Meleys,Vhagar,B
Game of Thrones,Expert,Qui a écrit le livre 'La boussole des vents' cité par les mestres ?,Mestre Aemon,Lomas Grandpas,Archimestre Marwyn,Archimestre Gyldayn,B
Game of Thrones,Expert,Quel est le nom de l'ancêtre de la maison Clegane qui a sauvé Tytos Lannister ?,Un mercenaire anonyme,Gregor lui-même,Le grand-père de Gregor,Le père de Gregor,C
Game of Thrones,Expert,Quel est le nom du dragon de Aegon II Targaryen surnommé le Doré ?,Syrax,Vermax,Caraxès,Sunfyre,D
Game of Thrones,Expert,Quelle est la devise de la maison Bolton ?,L'hiver vient,Notre est la fureur,Nos lames sont acérées,Un Lannister paye ses dettes,C
Game of Thrones,Expert,Qui est le Seigneur du Donjon de l'Ancre au début de la série ?,La maison Crakehall,La maison Florent,La maison Rowan,La maison Redwyne,B
Game of Thrones,Expert,Quel est le nom du dragon monté par Aenys Ier Targaryen ?,Meraxès,Vhagar,Quicksilver,Balerion,C
Game of Thrones,Expert,Quelle est la ville libre la plus au sud d'Essos ?,Volantis,Pentos,Braavos,Lys,D
Game of Thrones,Expert,Quel est le nom du loup géant d'Eddard Stark dans sa jeunesse ?,Glace,Fantôme,Broussaille,Il n'en avait pas,D
Game of Thrones,Expert,Quel roi Targaryen a régné le plus longtemps sur Westeros ?,Aegon Ier,Jaehaerys Ier,Aerys II,Aegon V,B
Game of Thrones,Expert,Qui était le Lord Commandant de la Garde Royale sous Aegon Ier ?,Criston Cole,Corlys Velaryon,Arthur Dayne,Barristan Selmy,B
Game of Thrones,Expert,Quel est le nom du père de Brienne de Torth ?,Steffon Torth,Galladon Torth,Selwyn Torth,Robert Torth,C
Game of Thrones,Expert,Quelle est la maison qui gouvernait Accalmie avant la Conquête d'Aegon ?,La maison Tarth,La maison Connington,La maison Durrandon,La maison Baratheon,C
Game of Thrones,Expert,Quel est le nom de l'épée en acier valyrien de la maison Mormont avant d'être donnée ?,Féale,Aube,Grand-Griffe,Glace,C
Game of Thrones,Expert,Quel roi Targaryen a péri dans la tragédie de Lestival ?,Maegor Ier,Aegon V,Aerys II,Jaehaerys II,B
Game of Thrones,Expert,Quel est le nom du dragon monté par Jacaerys Velaryon pendant la Danse ?,Syrax,Arrax,Vermax,Tyraxes,C
Game of Thrones,Expert,Qui est le fondateur de la Compagnie Dorée ?,Jon Connington,Brynden Rivers,Aegor Rivers surnommé Potaigre,Daemon Feunoyr,C
Game of Thrones,Expert,Quel est le nom du château de la maison Caron dans les Marches de Dorne ?,Sonde-Chant,Accalmie,Lancehélice,Hautjardin,A
Game of Thrones,Expert,Quel est le nom de la sœur de Daeron II Targaryen mariée au prince de Dorne ?,Rhaenya Targaryen,Daenerys Targaryen,Shaena Targaryen,Naerys Targaryen,B
Game of Thrones,Expert,Quel est le nom de la ville marchande située à l'extrême est du monde ?,Yi Ti,Braavos,Qarth,Asshai,A
Game of Thrones,Expert,Quel est le nom du roi Targaryen qui a marché pieds nus jusqu'à Port-Réal ?,Baelor Ier le Bienheureux,Jaehaerys Ier,Aenys Ier,Viserys Ier,A
Game of Thrones,Expert,Qui est le Grand Maestre qui a servi sous Maegor le Cruel ?,Grand Maestre Gawen,Grand Maestre Gerardys,Grand Maestre Benifer,Mestre Desmond,C
Game of Thrones,Expert,Quel est le nom de la mère de Jon Snow révélée dans la série ?,Ashara Dayne,Elia Martell,Catelyn Stark,Lyanna Stark,D
Game of Thrones,Expert,Quel est le nom du dragon de Rhaenys Targaryen surnommé la Reine Rouge ?,Meleys,Caraxès,Vhagar,Syrax,A
Game of Thrones,Expert,Quelle maison possède le château de Noire-Étoile à Dorne ?,La maison Yronwood,La maison Uller,La maison Dayne de Noire-Étoile,La maison Martell,C
Game of Thrones,Expert,Qui était le Lord de Winterfell pendant la rébellion avant d'être tué par le Roi Fou ?,Eddard Stark,Benjen Stark,Rickard Stark,Brandon Stark,C
Game of Thrones,Expert,Quel est le nom du navire de Corlys Velaryon ?,Le Serpent de Mer,L'Oiseau de Mer,La Fury,L'Épée de Feu,A
Game of Thrones,Expert,Quelle est la devise de la maison Westerling ?,Inclinés mais jamais brisés,Fidèle et courageux,Pas d'honneur sans fidélité,Nous ne semons pas,C
Game of Thrones,Expert,Qui a été le dernier roi de la maison Jardinier avant de mourir au Champ de Feu ?,Harren le Noir,Garth XI,Loren Ier,Mern IX,D
Game of Thrones,Expert,Quel est le nom du château ancestral de la maison Connington ?,Vivesaigues,Accalmie,Hautjardin,La Griffonnière,D
Game of Thrones,Expert,Quel est le nom du fils de Rhaenyra Targaryen qui devient roi après la Danse ?,Viserys II,Aenys II,Aegon II,Aegon III,D
Game of Thrones,Expert,Quel est le nom du dragon de Baela Targaryen ?,Sheepstealer,Sunfyre,Syrax,Moondancer,D
Game of Thrones,Expert,Quel est le nom de la femme de Robb Stark dans les livres ?,Talisa Maegyr,Jeyne Westerling,Walda la Grosse,Roslin Frey,B
Game of Thrones,Expert,Quelle est la devise de la maison Karstark ?,Notre est la fureur,Nous ne semons pas,L'hiver vient,Le soleil de l'hiver,D
Game of Thrones,Expert,Quel est le nom du dragon monté par Viserys Ier Targaryen ?,Vhagar,Meraxès,Balerion,Syrax,C
Game of Thrones,Expert,Quelle est la maison souveraine des Marches de Dorne ?,La maison Caron,La maison Selmy,La maison Dondarrion,La maison Swann,A
Game of Thrones,Expert,Quel roi Targaryen a été capturé pendant le Défi de Sombreval ?,Aegon V,Aegon IV,Aerys II,Jaehaerys II,C
Game of Thrones,Expert,Quel est le nom du dragon monté par Alysanne Targaryen ?,Syrax,Dreamfyre,Silverwing,Vhagar,C
Game of Thrones,Expert,Quel membre de la maison Frey est égorgé par Catelyn Stark lors des Noces Pourpres ?,Stevron Frey,Joy Frey,Aegon Frey surnommé Clochette,Roslin Frey,C
Game of Thrones,Expert,Quel est le nom de l'épée en acier valyrien de la maison Drumm ?,Crépuscule,Feunoyr,Lamentation,Pluie,D
Game of Thrones,Expert,Quel est le nom du château ancestral de la maison Umber ?,Âtre-lès-Confins,Winterfell,Fort-Terreur,Châteaunoir,A
Game of Thrones,Expert,Quel est le nom de la première épouse de Daemon Targaryen ?,Rhaenyra Targaryen,Mysaria,Rhea Royce,Laena Velaryon,C
Game of Thrones,Expert,Quel est le nom du dragon monté par Lucerys Velaryon ?,Syrax,Arrax,Vermax,Tyraxes,B
Game of Thrones,Expert,Quel est le nom du fondateur légendaire de la maison Tyrell ?,Lann le Futé,Orys Baratheon,Garth Mainverte,Alester Tyrell,D
Game of Thrones,Expert,Quelle maison du Conflans a pour devise 'Toujours prêts' ?,La maison Mallister,La maison Blackwood,La maison Frey,La maison Mooton,D
Game of Thrones,Expert,Quel est le nom du dragon monté par Aegon le Conquérant ?,Sunfyre,Balerion,Vhagar,Meraxès,B
Game of Thrones,Expert,Qui est le Seigneur de l'Île de Torth au début de la série ?,Selwyn Torth,Steffon Baratheon,Jaime Lannister,Davos Mervault,A
Game of Thrones,Expert,Quel est le nom du frère bâtard de Bloodraven ?,Daemon Feunoyr,Aenys Targaryen,Aegon IV,Daeron II,A
Game of Thrones,Expert,Quel est le nom du poison que la reine Cersei utilise pour tuer Tyene Sand ?,Le Long Adieu,Le Sang de Démon,Les Larmes de Lys,L'Étrangleur,A
